"item" "cond" "region" "subj" "expt" "rt" "region.id" "region2" "probs" "dist.exp" "dist.noexp" "exp" "dist" "int" "lrt"
"2" 1 "a" "CPLightVerb" 53 "CP1" 500 4 "crit" 0.5 -1 0 1 -1 -1 6.21460809842219
"4" 1 "a" "CPLightVerb" 25 "CP1" 422 4 "crit" 0.5 -1 0 1 -1 -1 6.04500531403601
"5" 1 "a" "CPLightVerb" 13 "CP1" 406 4 "crit" 0.5 -1 0 1 -1 -1 6.00635315960173
"8" 1 "a" "CPLightVerb" 33 "CP1" 469 4 "crit" 0.5 -1 0 1 -1 -1 6.15060276844628
"10" 1 "a" "CPLightVerb" 1 "CP1" 375 4 "crit" 0.5 -1 0 1 -1 -1 5.92692602597041
"12" 1 "a" "CPLightVerb" 21 "CP1" 656 4 "crit" 0.5 -1 0 1 -1 -1 6.48616078894409
"16" 1 "a" "CPLightVerb" 29 "CP1" 1516 4 "crit" 0.5 -1 0 1 -1 -1 7.32383056620232
"23" 1 "a" "CPLightVerb" 41 "CP1" 484 4 "crit" 0.5 -1 0 1 -1 -1 6.18208490671663
"27" 1 "a" "CPLightVerb" 49 "CP1" 704 4 "crit" 0.5 -1 0 1 -1 -1 6.55677835615804
"30" 1 "a" "CPLightVerb" 57 "CP1" 719 4 "crit" 0.5 -1 0 1 -1 -1 6.57786135772105
"31" 1 "a" "CPLightVerb" 5 "CP1" 875 4 "crit" 0.5 -1 0 1 -1 -1 6.77422388635761
"33" 1 "a" "CPLightVerb" 17 "CP1" 1734 4 "crit" 0.5 -1 0 1 -1 -1 7.45818615734049
"34" 1 "a" "CPLightVerb" 9 "CP1" 2703 4 "crit" 0.5 -1 0 1 -1 -1 7.90211754627645
"36" 1 "a" "CPLightVerb" 45 "CP1" 2656 4 "crit" 0.5 -1 0 1 -1 -1 7.88457651059632
"45" 1 "a" "CPLightVerb" 37 "CP1" 735 4 "crit" 0.5 -1 0 1 -1 -1 6.59987049921284
"47" 1 "b" "CPLightVerb" 22 "CP1" 453 4 "crit" 0.5 1 0 1 1 1 6.11589212548303
"49" 1 "b" "CPLightVerb" 46 "CP1" 984 4 "crit" 0.5 1 0 1 1 1 6.89162589705225
"51" 1 "b" "CPLightVerb" 30 "CP1" 563 4 "crit" 0.5 1 0 1 1 1 6.33327962813969
"52" 1 "b" "CPLightVerb" 34 "CP1" 531 4 "crit" 0.5 1 0 1 1 1 6.27476202124194
"58" 1 "b" "CPLightVerb" 26 "CP1" 453 4 "crit" 0.5 1 0 1 1 1 6.11589212548303
"59" 1 "b" "CPLightVerb" 2 "CP1" 578 4 "crit" 0.5 1 0 1 1 1 6.35957386867238
